 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7098,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05899-03876,4.103,2.017,0.351,1.619,2.636,7.622
7099,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05929-08469,19.695,2.342,0.540,1.182,3.625,15.995
7100,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05970-09313,118.580,1.503,0.192,1.048,2.048,42.019
7101,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05985-02778,16.823,1.131,0.134,0.857,1.433,15.089
7102,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05987-02183,27.081,2.040,0.511,1.150,3.500,19.088
7103,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05996-03168,39.800,1.750,0.208,1.263,2.250,25.054
7104,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06007-00293,30.363,2.241,0.437,1.294,3.125,20.744
7105,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06021-00259,40.621,1.395,0.229,0.947,2.083,23.462
7106,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06040-04425,32.825,1.065,0.112,0.767,1.353,20.744
7107,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06062-02114,34.056,1.114,0.116,0.875,1.444,22.181
7108,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06099-09481,39.390,2.258,0.435,1.385,3.545,22.931
7109,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06130-09186,58.675,2.319,0.284,1.692,3.222,28.897
7110,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06135-06868,24.619,2.742,0.730,1.462,4.846,17.807
7111,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:06138-02126,21.747,2.002,0.393,1.188,3.000,17.276
